,Unnamed: 0,Unnamed: 0.1,tweets,date,tweet_id,subjectivite,sentiment,replay
70,70,70,muffins tomates séchées thym comté peu soleil à lapéro - recettes apéritifs,2020-08-16 10:30:17,1294944565447872512,objective,0, 
71,71,71,tatin courgettes chèvre bientôt fin saison recettes courgettes recette,2020-08-16 08:30:17,1294914366517780480,objective,0, 
72,72,72,tartelettes ricotta framboises saison des framboises fraiches recettes framboises,2020-08-15 16:30:32,1294672833960906757,objective,0, 
73,73,73,tarte tatin rhubarbe pain dépice acidulé gourmand recettes rhubarbe recette,2020-08-15 14:30:41,1294642674360881155,objective,0, 
74,74,74,salade avocat crevette salade fraicheur dété recettes salade été avocat crevette,2020-08-15 10:30:20,1294582187338104832,objective,0, 
75,75,75,tartare saumon à coriandre fraicheur légèreté recettes saumon tartare recette,2020-08-15 08:30:24,1294552007311872000,objective,0, 
76,76,76,citrons glacés très rafraichissant recettes glace cuisine dessert citron recette,2020-08-14 16:30:51,1294310526118506496,objective,0, 
77,77,77,framboisier cest saison des framboises fraiches françaises recettes desserts,2020-08-14 14:30:51,1294280328270548994,objective,0, 
78,78,78,muffins aux courgettes avec une salade tomates cest parfait recettes cuisine,2020-08-14 10:30:27,1294219830103552000,objective,0, 
79,79,79,salsa pico gallo pour lapéritif avec des tacos recettes apéritifs vacances recette,2020-08-14 08:30:28,1294189634247897088,objective,0, 
80,80,80,brownies aux chamallows délicieusement colorés recettes chocolats brownies recette,2020-08-13 16:31:18,1293948252077858820,objective,0, 
81,81,81,tarte chocolat figues gourmande saison une recette tartes figues chocolat,2020-08-13 14:31:09,1293918015868854272,objective,0, 
82,82,82,accras morue petite bouchée exotique pour lentrée lapéritif recettes morue,2020-08-13 10:30:41,1293857499280531457,objective,0, 
83,83,83,cocottes poulet basquaise piment despelette profitez encore des poivrons frais,2020-08-13 08:30:43,1293827309649223680,objective,0, 
84,84,84,aspic fraises melons tout fruits rafraichissant desserts recettes fruits,2020-08-12 16:31:04,1293585807853395968,objective,0, 
85,85,85,glace aux spéculoos délicieux parfum cannelle recettes desserts glaces cannelle,2020-08-12 14:31:17,1293555662123868160,objective,0, 
86,86,86,tempura crevettes noix coco cette fois à noix coco crevettes recettes,2020-08-12 10:30:46,1293495135725125632,objective,0, 
87,87,87,escalopes veau aux tomates fraiches basilic saveurs méditerranéenne recettes veau,2020-08-12 08:30:42,1293464919799726080,objective,0, 
88,88,88,glace rhum raisins glace préférée recettes desserts glaces rhum raisin recette,2020-08-11 16:30:53,1293223372952940544,objective,0,"['Miam Miam', 'If Rome Gelataria called Giovanni Fai its years old Romans eat hyper text transfer protocol:thereits best Ice Cream']"
89,89,89,quelques courgettes cest saison quelques condiments des noisettes voilà bien mieux quun paquet gâteaux,2020-08-11 15:34:41,1293209229701066753,objective,0,"['Ça lair delicieux', 'Merci beaucoup Smiling face smiling eyes Cest une façon gourmande manger les courgettes  Belle soirée', 'ça lair merveilleux', 'Merci infinimentSmiling face smiling eyes Cest une autre façon gourmande profiter la saison des courgettesWinking face Très bonne soirée']"
90,90,90,crème glacée vanille sur lit lemon curd une glace originale recettes desserts glaces,2020-08-11 14:31:04,1293193218910232579,objective,0, 
91,91,91,verrines tomates à grecque petite entrée sympa recettes tomates feta verrine,2020-08-11 10:30:45,1293132739617619968,objective,0,['Mucha delisiosa']
92,92,92,moussaka cest saison des aubergines recettes aubergines moussaka recette cuisine,2020-08-11 08:30:33,1293102493904314369,objective,0, 
93,93,93,clafoutis citron framboises citron framboise mariage gourmand recettes desserts recette,2020-08-10 16:31:03,1292861026313043968,objective,0, 
94,94,94,glace tiramisu glace fraicheur gourmande recettes glaces recette glace été,2020-08-10 14:31:11,1292830861126139905,objective,0, 
95,95,95,salade pâtes pennes basilic thon été vacances salades recettes pâtes salade,2020-08-10 10:30:43,1292770345657741316,objective,0, 
96,96,96,tarte feuilletée aux tomates thym frais une belle recette dété recettes recette,2020-08-10 08:30:36,1292740118223163392,objective,0, 
97,97,97,glace noix cannelle rafraichissante gourmande recettes glace été dessert noix,2020-08-09 16:30:33,1292498510957498368,objective,0, 
98,98,98,soufflé glacé pain dépices dessert original rafraichissant recettes dessert,2020-08-09 14:30:28,1292468292288942081,Subjective,1, 
99,99,99,salade pommes terre pesto menthe une bonne recette fraicheur originale,2020-08-09 10:30:18,1292407852670255105,objective,0, 
100,100,100,papeton daubergine cuisine provençale dans toute beauté recettes légumes provence,2020-08-09 08:30:18,1292377653434093568,objective,0, 
101,101,101,compote melon aux épices servir frais avec fromage blanc recettes fruits recette,2020-08-08 16:30:40,1292136153727016960,objective,0, 
102,102,102,tartelettes meringuée à noix coco petite douceur pour week-end recettes recette,2020-08-08 14:30:44,1292105972224229377,objective,0, 
103,103,103,salade quinoa saumon noisettes plat gourmand sans remords - recettes quinoa,2020-08-08 10:30:21,1292045479195418624,objective,0, 
104,104,104,paupiettes veau à ratatouille une délicieuse recette dété recettes cuisine,2020-08-08 08:30:22,1292015283729772544,objective,0, 
105,105,105,profiteroles sorbet poire gourmandise rafraichissante recettes desserts recette,2020-08-07 16:30:41,1291773769741144065,objective,0, 
106,106,106,tartes pêches amandes une tarte dété recettes desserts recette cuisine tarte tartes,2020-08-07 14:30:25,1291743502561402882,objective,0, 
107,107,107,petites tomates farcies aux crevettes entrée pour apéritif dinatoire recettes,2020-08-07 10:30:27,1291683113354039297,objective,0,['I liske']
108,108,108,verrines saumon courgette chèvre une entrée fraiche légère recettes cuisine recette,2020-08-07 08:30:24,1291652903464206336,objective,0, 
109,109,109,gâteau noix coco chocolat gâteau moelleux simple recettes gâteau chocolat,2020-08-06 16:31:24,1291411562327150597,objective,0, 
110,110,110,salade melon aux fruits dété manger des fruits cest encore lété - recettes,2020-08-06 14:31:09,1291381301283565570,objective,0, 
111,111,111,tartelettes chévre jambon cru figues une recette salé sucré saison recettes figues,2020-08-06 10:30:42,1291320790592495616,objective,0, 
112,112,112,beignets crevettes tempura crevettes parfait pour lapéritif recettes apéritif,2020-08-06 08:30:38,1291290574696452097,objective,0, 
113,113,113,agua fresca besoin fraicheur je vous sert verre recettes ccktail pasteque,2020-08-05 16:31:20,1291049157239635971,objective,0, 
114,114,114,sorbet aux fruits rouges une bonne glace aux fruits recettes glaces sorbets desserts,2020-08-05 14:31:13,1291018931717771264,objective,0, 
115,115,115,pommes terre pimentées patatas bravas espagne pour apéro brunch recettes,2020-08-05 10:30:44,1290958410037551104,objective,0, 
116,116,116,tartelettes poulet-aubergine sympathique ces petites tartelettes salées recettes,2020-08-05 08:30:46,1290928221022806017,objective,0, 
117,117,117,clafoutis aux fruits rouges myrtilles mures fraises framboises recettes clafoutis,2020-08-04 16:31:18,1290686762793279491,objective,0, 
118,118,118,gratin reines-claudes à cannelle servie encore chaud cest trop bon recettes,2020-08-04 14:31:05,1290656507244183552,objective,0, 
119,119,119,salade radis concombre aux herbes fromage blanc salade très légère mais gourmande,2020-08-04 10:30:43,1290596018078261248,objective,0, 
120,120,120,caponata sicilienne profite des légumes moment sur cuisine mets recettes,2020-08-04 08:30:43,1290565818464509952,objective,0, 
121,121,121,fraicheur légèretéises pistaches semifreddo fraicheur légereté desserts glaces,2020-08-03 16:31:02,1290324308527652867,objective,0, 
122,122,122,neige framboise humm dessert aux petits suisse recettes fruits simple recette,2020-08-03 14:31:17,1290294171153047558,objective,0, 
123,123,123,petites quiches chevre aubergines miam avec une bonne salade verte recette été légumes,2020-08-03 10:30:34,1290233594414157824,objective,0, 
124,124,124,fondue tomates courgettes son oeuf poché petites verrines dété chic recette été,2020-08-03 08:30:38,1290203410076250114,objective,0, 
125,125,125,cake à confiture myrtilles avec une confiture faite maison cest encore meilleur,2020-08-02 16:30:30,1289961786058387462,objective,0, 
126,126,126,verrines mousse vanille myrtilles léger frais bonheur fruité recettes,2020-08-02 14:30:31,1289931590500376577,objective,0, 
127,127,127,gratin pomme terre courgettes bon plat familial dété recettes gratin,2020-08-02 10:30:22,1289871153406726144,objective,0, 
128,128,128,terrine saumon avec filet citron dhuile dolive vierge recette fraicheur,2020-08-02 08:30:22,1289840956313874432,objective,0, 
129,129,129,confiture figues épices vanille une belle confiture gourmande recettes confitures,2020-08-01 16:30:33,1289599411106934784,objective,0, 
130,130,130,gratin tomate mozzarella pommes terre belle recette saison bon froid aussi recette,2020-08-01 10:30:29,1289508795551375362,objective,0, 
131,131,131,tarte poulet champignons tomates manger froide pour déjeuner dété recettes été,2020-08-01 08:30:24,1289478574068490242,objective,0, 
132,132,132,clafoutis aux mûres cest saison des fruits rouges jaime ça vous recettes mûres,2020-07-31 16:31:03,1289237147313201152,objective,0,"['Jadooore  ', 'Miam Miam']"
133,133,133,tartelettes citron myrtilles aimez vous myrtille avec citron je vous conse,2020-07-31 14:30:59,1289206932792737792,objective,0, 
134,134,134,oeufs aux poivrons plat simple économique délicieux recettes tomates poivrons,2020-07-31 10:30:28,1289146403323875328,objective,0, 
135,135,135,magret canard aux figues été gastronomique recettes canard recette cuisine figues,2020-07-31 08:30:23,1289116185565499392,objective,0, 
136,136,136,petits muffins aux prunes avec toutes sorte variétés prunes cest excellent,2020-07-30 16:31:00,1288874748894687232,Subjective,1, 
137,137,137,fraicheur aux fruits rouges dessert délicat fruité recettes desserts fruits,2020-07-30 14:31:26,1288844656252465152,objective,0, 
138,138,138,melon figues à mozzarella jambon tout lété dans cette aiette recettes,2020-07-30 10:30:35,1288784046944813056,objective,0, 
139,139,139,pizzas rosaces pour lapéritif vacances - recettes apéritif recette cuisine,2020-07-30 08:30:41,1288753870907285504,objective,0, 
140,140,140,crumble aux prunes faire avec quetsches mirabelles reines claudes recettes,2020-07-29 16:31:13,1288512413176823808,objective,0, 
141,141,141,tarte aux noix pécan appelée aussi pecan pie desserts tarte canada tartes recettes,2020-07-29 14:31:22,1288482253195141120,objective,0, 
142,142,142,brochettes parme melon une présentation originale à faire recettes melon,2020-07-29 10:30:41,1288421682370220033,objective,0, 
143,143,143,pilons poulet frits à maryland potatoes pour enfants grands -,2020-07-29 08:30:50,1288391520677224448,objective,0, 
144,144,144,mousse fromage blanc miel figues fraiches dessert saison à réaliser maintenant,2020-07-28 16:31:22,1288150063487815680,objective,0, 
145,145,145,mousse chocolat gingembre fruits rouges fruits lénergie gourmandise,2020-07-28 14:31:04,1288119790603603971,objective,0, 
146,146,146,mini muffins chèvre courgette recette dété simple gourmande recettes courgettes,2020-07-28 10:30:46,1288059313613877248,objective,0, 
147,147,147,pizza chorizo cest vacances fait simple familial recettes pizza cuisine,2020-07-28 08:30:48,1288029123613532160,objective,0, 
148,148,148,pêches rôties caramélisées une douceur saison recettes desserts pêches recette,2020-07-27 16:30:58,1287787575671951368,objective,0, 
149,149,149,pavlova aux figues croustillant fondant fruité claique recettes desserts,2020-07-27 14:31:06,1287757409163845633,objective,0, 
150,150,150,avocados stuffed crab delicious simple recipes crab recipe cooking,2020-07-27 10:32:02,1287697246327386112,objective,0, 
151,151,151,sea ​​bass fillets with onions pastis culinary flavors my south cooking recipe,2020-07-27 08:30:34,1287666679426818048,objective,0, 
152,152,152,peach nectarine sorbet refreshing peach sorbet peach sorbet recipes,2020-07-26 16:30:33,1287425081019441152,objective,0, 
153,153,153,vanilla pineapple salad I add a scoop of vanilla ice cream pineapple recipes,2020-07-26 14:30:32,1287394879191035905,objective,0, 
154,154,154,brain canut parent panic nest cheese - lyon cheese recipes,2020-07-26 10:30:22,1287334441258385408,objective,0,['Mmmhh  Avec des pommes terre rôties comme en Lorraine']
155,155,155,cherry tomato tarts a beautiful colorful starter tomato recipes south provence,2020-07-26 08:30:23,1287304244081680384,objective,0, 
156,156,156,milk chocolate mousse with almonds a little chocolate craving helps you - recipes,2020-07-25 16:30:38,1287062714590863360,objective,0, 
157,157,157,gourmet strawberry cuts with last season strawberries recipe recipes,2020-07-25 14:30:36,1287032506768863235,objective,0, 
158,158,158,clafoutis cherry tomatoes parmesan a very southern recipe: - recipes recipe cooking,2020-07-25 10:30:29,1286972080005750784,objective,0, 
159,159,159,terrine feta mascarpone pepper a very Mediterranean starter pepper recipes,2020-07-25 08:30:24,1286941862457114624,objective,0, 
160,160,160,Chocolate banana muffins to taste after beach - banana muffin recipes,2020-07-24 16:31:03,1286700433310986240,objective,0, 
161,161,161,plum pie speculoos full season plums recipes plum pies recipe,2020-07-24 14:30:55,1286670198620270595,objective,0, 
162,162,162,original barbecue kefta skewers that take you on a journey grilling grilling recipes,2020-07-24 10:30:35,1286609716630687745,Subjective,1, 
163,163,163,aubergines mozzarella superb delicious southern dish provence holiday recipes,2020-07-24 08:30:28,1286579488009093120,objective,0, 
164,164,164,red berry sorbet good fruit ice cream recipes ice cream sorbets desserts,2020-07-23 16:31:39,1286338197220401154,objective,0, 
165,165,165,red fruit gratin sabayon summer treat true pleasure recipes desserts,2020-07-23 14:31:20,1286307916937650181,objective,0, 
166,166,166,tomato pesto pie a beautiful summer pie eat with song of the cicadas recipes,2020-07-23 10:31:58,1286247677550833665,objective,0, 
167,167,167,Texan ribs for barbecue weekend barbecue grill recipes,2020-07-23 08:30:43,1286217166434557953,objective,0, 
168,168,168,salad orange figs summer fruit salad is the best recipes,2020-07-22 16:31:17,1285975714576191488,objective,0, 
169,169,169,lemon sorbet it's true it's claique so love lemon sorbet recipes,2020-07-22 14:30:57,1285945433764892673,objective,0, 
170,170,170,cod à provençale fish is very good with summer vegetables recipes,2020-07-22 10:30:47,1285884991830921222,objective,0, 
171,171,171,ratatouille I eat with flat egg placed on it recipes provence vegetable,2020-07-22 08:30:37,1285854753059147776,objective,0, 
172,172,172,red fruit milkshake seasonal smoothie with vitamins recipes desserts fruit,2020-07-21 16:31:14,1285613316367364096,objective,0, 
173,173,173,blueberry turnovers fresh blueberry season make desserts recipes,2020-07-21 14:31:17,1285583128434806784,objective,0, 
174,174,174,tian vegetables with mozzarella go perfectly with barbecue grills,2020-07-21 10:30:49,1285522611846381570,objective,0, 
175,175,175,a beautiful recipe claique pasta to litalienne pasta à norma recipes are,2020-07-21 08:30:40,1285492377524867074,objective,0, 
176,176,176,coconut cream serve chilled very delicious dessert recipes dessert,2020-07-20 16:31:08,1285250902807531527,objective,0, 
177,177,177,clafoutis with pan-fried figs a real treat recipes cooking recipe figs,2020-07-20 14:31:07,1285220699687313410,objective,0, 
178,178,178,shrimp garlic chili basil tapas holiday recipes holiday tapas recipe cooking,2020-07-20 10:30:33,1285160159405387777,objective,0, 
179,179,179,bagnat bread you find ugly photo pan bagnat it's generous otherwise it's great,2020-07-20 08:30:35,1285129965659357184,Subjective,1, 
180,180,180,honeydew melon granita freshness southern sweetness dessert recipes granite ice cream,2020-07-19 16:30:29,1284888350034464768,objective,0, 
181,181,181,apple cake with larmagnac perfect for tea coffee recipe desserts apples,2020-07-19 14:30:25,1284858132913688577,objective,0, 
182,182,182,fresh figs goat cheese raw ham a very nice starter all colors recipes,2020-07-19 10:30:17,1284797705169113088,objective,0, 
183,183,183,Beef roulades with peppers original recipe grilling recipes summer vacation,2020-07-19 08:30:16,1284767498815049729,objective,0, 
184,184,184,ripe gourmet verrines try picking wild blackberries recipes,2020-07-18 16:30:44,1284526025959976962,objective,0, 
185,185,185,upside down plum cake plum appears on stalls recipes desserts recipe,2020-07-18 14:30:39,1284495806117171201,objective,0, 
186,186,186,marinated grilled peppers small delicacy from italy recipes italy recipe cooking,2020-07-18 10:30:28,1284435359913345026,objective,0, 
187,187,187,rolled eggplant serve cold with a small salad tomatoes fresh recipes,2020-07-18 08:30:29,1284405166297546752,objective,0, 
188,188,188,verrines figs mousse mascarpone figs provence begins to be available: -,2020-07-17 16:30:56,1284163687201280003,objective,0, 
189,189,189,apricot cake almonds soft gourmet cake recipes apricot cake,2020-07-17 14:30:56,1284133487184883712,objective,0, 
190,190,190,zucchini gratin basil beautiful gratin season side dish grilled food,2020-07-17 10:30:39,1284073021775523845,objective,0,['Ça doit être trop bon avec des grillades']
191,191,191,eggplant with parmesan yes I know little arranged our way recipes,2020-07-17 08:30:28,1284042776133476352,objective,0, 
192,192,192,banana split dessert refreshing gourmet ice cream recipes cooking recipe,2020-07-16 16:31:08,1283801349428260865,objective,0, 
